claim_id,estimate_id,estimate_date,estimate_source,third_party_id,estimate_type,estimate_amount,building_amount,contents_amount,other_structures_amount,loss_of_use_amount,estimate_status,estimate_description
CLM00007,EST0000021,2025-11-11,Electrician,TP00090,Electrician Estimate,252900,189709,22467,15287,25437,Partially Accepted,Estimate submitted by involved electrician.
CLM00007,EST0000022,2026-01-20,Carrier,TP00090,Supplement,262800,202184,14824,6125,39667,Under Review,Revised estimate created following scope reconciliation.
CLM00007,EST0000023,2025-12-25,General Contractor,TP00090,Supplement,272700,203732,12011,9985,46972,Under Review,Supplemental estimate received with additional repair line items.
CLM00007,EST0000024,2025-12-06,Electrician,TP00090,Supplement,312600,268655,6476,6213,31256,Partially Accepted,Updated estimate following reinspection and documentation review.
CLM00008,EST0000025,2024-03-14,Carrier,,Initial,134000,106112,10891,9932,7065,Superseded,Initial carrier estimate following inspection and scope review.
CLM00008,EST0000026,2024-03-07,Electrician,TP00089,Electrician Estimate,140400,110674,3131,5046,21549,Partially Accepted,Estimate submitted by involved electrician.
CLM00009,EST0000027,2022-02-25,Carrier,,Initial,25500,20009,1929,978,2584,Superseded,Initial carrier estimate following inspection and scope review.
CLM00009,EST0000028,2022-02-22,Roofer,TP00034,Roofer Estimate,23700,18943,1645,685,2427,Partially Accepted,Estimate submitted by involved roofer.
CLM00009,EST0000029,2022-05-18,Carrier,,Revised,27500,20110,905,2171,4314,Under Review,Revised estimate created following scope reconciliation.
CLM00009,EST0000030,2022-05-17,Carrier,TP00034,Revised,33000,26679,1836,2102,2383,Partially Accepted,Supplemental estimate received with additional repair line items.
CLM00010,EST0000031,2024-03-17,Carrier,,Initial,53200,47637,1105,3355,1103,Final,Initial carrier estimate following inspection and scope review.
CLM00010,EST0000032,2024-03-27,Electrician,TP00090,Electrician Estimate,73500,58185,1842,5627,7846,Under Review,Estimate submitted by involved electrician.
CLM00010,EST0000033,2024-04-09,Public Adjuster,TP00070,Public Adjuster Estimate,86200,69248,4785,3076,9091,Accepted,Estimate package submitted by public adjuster.
CLM00011,EST0000034,2022-07-10,Carrier,,Initial,35800,27618,3098,1872,3212,Superseded,Initial carrier estimate following inspection and scope review.
CLM00011,EST0000035,2022-07-11,Plumber,TP00040,Plumber Estimate,42600,36229,1742,1414,3215,Partially Accepted,Estimate submitted by involved plumber.
CLM00011,EST0000036,2022-07-25,Public Adjuster,TP00071,Public Adjuster Estimate,51100,40626,3707,173,6594,Under Review,Estimate package submitted by public adjuster.
CLM00012,EST0000037,2023-08-11,Carrier,,Initial,20000,15036,1968,69,2927,Final,Initial carrier estimate following inspection and scope review.
CLM00013,EST0000038,2023-07-28,Carrier,,Initial,17700,12971,883,1311,2535,Superseded,Initial carrier estimate following inspection and scope review.
CLM00013,EST0000039,2023-08-04,General Contractor,TP00051,General Contractor Estimate,16800,13724,1180,576,1320,Partially Accepted,Estimate submitted by involved general contractor.
CLM00013,EST0000040,2023-08-03,Public Adjuster,TP00065,Public Adjuster Estimate,24300,20642,1841,289,1528,Accepted,Estimate package submitted by public adjuster.
CLM00014,EST0000041,2024-07-27,Carrier,,Initial,16600,12786,536,890,2388,Final,Initial carrier estimate following inspection and scope review.
CLM00014,EST0000042,2024-08-09,Roofer,TP00034,Roofer Estimate,20600,18264,1702,435,199,Under Review,Estimate submitted by involved roofer.
CLM00015,EST0000043,2023-08-16,Carrier,,Initial,34000,28006,2147,2439,1408,Superseded,Initial carrier estimate following inspection and scope review.
CLM00015,EST0000044,2023-09-04,Plumber,TP00043,Plumber Estimate,31200,27871,998,2246,85,Partially Accepted,Estimate submitted by involved plumber.
CLM00015,EST0000045,2023-09-06,Public Adjuster,TP00067,Public Adjuster Estimate,52800,38424,4915,2710,6751,Under Review,Estimate package submitted by public adjuster.
CLM00015,EST0000046,2023-11-05,Plumber,TP00043,Supplement,59600,43056,2196,1424,12924,Under Review,Supplemental estimate received with additional repair line items.
CLM00015,EST0000047,2023-10-02,General Contractor,,Revised,71800,64228,8029,4116,0,Partially Accepted,Revised estimate created following scope reconciliation.
CLM00016,EST0000048,2025-12-23,Carrier,,Initial,36000,30525,1941,1665,1869,Superseded,Initial carrier estimate following inspection and scope review.
CLM00016,EST0000049,2025-12-21,Electrician,TP00089,Electrician Estimate,46000,34117,2934,3380,5569,Partially Accepted,Estimate submitted by involved electrician.
CLM00016,EST0000050,2026-02-18,Electrician,,Supplement,51300,40451,4463,3889,2497,Partially Accepted,Revised estimate created following scope reconciliation.
CLM00017,EST0000051,2022-11-25,Carrier,,Initial,12300,10000,1407,428,465,Final,Initial carrier estimate following inspection and scope review.
CLM00017,EST0000052,2022-12-09,Roofer,TP00029,Roofer Estimate,12600,10599,1347,367,287,Under Review,Estimate submitted by involved roofer.
CLM00018,EST0000053,2025-05-28,Carrier,,Initial,22700,16912,999,710,4079,Final,Initial carrier estimate following inspection and scope review.
CLM00019,EST0000054,2024-04-24,Carrier,,Initial,14100,12083,988,67,962,Superseded,Initial carrier estimate following inspection and scope review.
CLM00019,EST0000055,2024-04-26,Plumber,TP00040,Plumber Estimate,14900,11049,1313,1023,1515,Partially Accepted,Estimate submitted by involved plumber.
CLM00020,EST0000056,2023-01-21,Carrier,,Initial,19700,14368,2174,877,2281,Final,Initial carrier estimate following inspection and scope review.
CLM00020,EST0000057,2023-01-28,Plumber,TP00046,Plumber Estimate,20500,15773,1577,806,2344,Under Review,Estimate submitted by involved plumber.
CLM00021,EST0000058,2023-01-14,Carrier,,Initial,43500,38635,2367,584,1914,Final,Initial carrier estimate following inspection and scope review.
CLM00021,EST0000059,2023-01-23,Roofer,TP00037,Roofer Estimate,54300,40260,3221,1489,9330,Under Review,Estimate submitted by involved roofer.
CLM00022,EST0000060,2024-03-27,Carrier,,Initial,31500,27383,2823,2384,0,Final,Initial carrier estimate following inspection and scope review.
CLM00022,EST0000061,2024-04-07,Roofer,TP00029,Roofer Estimate,43700,36898,1203,2674,2925,Under Review,Estimate submitted by involved roofer.
CLM00023,EST0000062,2025-03-10,Carrier,,Initial,29000,25895,634,2289,182,Final,Initial carrier estimate following inspection and scope review.
CLM00024,EST0000063,2024-12-29,Carrier,,Initial,33800,29748,2994,217,841,Superseded,Initial carrier estimate following inspection and scope review.
CLM00024,EST0000064,2025-01-04,Roofer,TP00037,Roofer Estimate,34500,27297,1552,833,4818,Partially Accepted,Estimate submitted by involved roofer.
CLM00024,EST0000065,2025-03-12,Roofer,TP00037,Supplement,37600,32471,3037,2995,0,Partially Accepted,Supplemental estimate received with additional repair line items.
CLM00025,EST0000066,2025-09-25,Carrier,,Initial,11300,9555,894,257,594,Final,Initial carrier estimate following inspection and scope review.
CLM00026,EST0000067,2023-04-09,Carrier,,Initial,9100,7072,1066,716,246,Superseded,Initial carrier estimate following inspection and scope review.
CLM00026,EST0000068,2023-04-24,Plumber,TP00039,Plumber Estimate,10900,9568,896,232,204,Partially Accepted,Estimate submitted by involved plumber.
CLM00026,EST0000069,2023-05-19,Plumber,,Revised,13300,11475,402,918,505,Under Review,Revised estimate created following scope reconciliation.
CLM00026,EST0000070,2023-06-04,General Contractor,TP00039,Supplement,16200,12727,819,1125,1529,Partially Accepted,Updated estimate following reinspection and documentation review.
CLM00027,EST0000071,2024-03-03,Carrier,,Initial,46900,38911,1459,1217,5313,Final,Initial carrier estimate following inspection and scope review.
CLM00028,EST0000072,2024-06-20,Carrier,,Initial,34800,27754,1710,2775,2561,Superseded,Initial carrier estimate following inspection and scope review.
CLM00028,EST0000073,2024-07-03,Roofer,TP00029,Roofer Estimate,63800,46706,4817,4345,7932,Partially Accepted,Estimate submitted by involved roofer.
CLM00028,EST0000074,2024-08-01,General Contractor,TP00029,Supplement,77900,62186,2079,1318,12317,Under Review,Updated estimate following reinspection and documentation review.
CLM00028,EST0000075,2024-09-20,General Contractor,,Revised,95300,76493,2173,642,15992,Under Review,Supplemental estimate received with additional repair line items.
CLM00028,EST0000076,2024-09-29,Carrier,TP00029,Revised,113200,99001,6988,471,6740,Under Review,Updated estimate following reinspection and documentation review.
CLM00028,EST0000077,2024-09-01,Carrier,,Revised,118800,103621,12654,3264,0,Partially Accepted,Revised estimate created following scope reconciliation.
CLM00029,EST0000078,2023-05-27,Carrier,,Initial,15700,12532,513,488,2167,Final,Initial carrier estimate following inspection and scope review.
CLM00030,EST0000079,2023-12-16,Carrier,,Initial,15000,13090,1300,266,344,Superseded,Initial carrier estimate following inspection and scope review.
CLM00030,EST0000080,2023-12-23,Electrician,TP00089,Electrician Estimate,28100,24621,3007,723,0,Partially Accepted,Estimate submitted by involved electrician.
CLM00030,EST0000081,2024-03-05,General Contractor,TP00089,Revised,33200,26062,727,1478,4933,Under Review,Supplemental estimate received with additional repair line items.
CLM00030,EST0000082,2024-02-05,Carrier,,Revised,38700,29121,845,271,8463,Partially Accepted,Revised estimate created following scope reconciliation.
CLM00031,EST0000083,2023-09-08,Carrier,,Initial,56100,46899,5985,737,2479,Final,Initial carrier estimate following inspection and scope review.
CLM00031,EST0000084,2023-09-11,Roofer,TP00037,Roofer Estimate,72800,53463,2189,5810,11338,Under Review,Estimate submitted by involved roofer.
CLM00032,EST0000085,2022-08-05,Carrier,,Initial,9800,7754,237,404,1405,Superseded,Initial carrier estimate following inspection and scope review.
CLM00032,EST0000086,2022-08-10,Roofer,TP00036,Roofer Estimate,11200,9620,495,279,806,Partially Accepted,Estimate submitted by involved roofer.
CLM00033,EST0000087,2023-10-24,Carrier,,Initial,42400,34489,1043,2247,4621,Superseded,Initial carrier estimate following inspection and scope review.
CLM00033,EST0000088,2023-11-14,Plumber,TP00041,Plumber Estimate,49700,37956,4837,2010,4897,Partially Accepted,Estimate submitted by involved plumber.
CLM00033,EST0000089,2023-11-07,Public Adjuster,TP00071,Public Adjuster Estimate,66900,48525,2947,3468,11960,Accepted,Estimate package submitted by public adjuster.
CLM00034,EST0000090,2024-12-09,Carrier,,Initial,29600,24517,2736,1157,1190,Final,Initial carrier estimate following inspection and scope review.
CLM00035,EST0000091,2025-01-17,Carrier,,Initial,16400,13165,1676,1264,295,Superseded,Initial carrier estimate following inspection and scope review.
CLM00035,EST0000092,2025-01-13,Plumber,TP00044,Plumber Estimate,25100,21771,1482,159,1688,Partially Accepted,Estimate submitted by involved plumber.
CLM00035,EST0000093,2025-03-01,General Contractor,TP00044,Revised,26000,20499,1193,205,4103,Under Review,Revised estimate created following scope reconciliation.
CLM00035,EST0000094,2025-04-12,General Contractor,,Revised,31900,23608,1500,2027,4765,Under Review,Revised estimate created following scope reconciliation.
CLM00035,EST0000095,2025-03-10,General Contractor,,Revised,37400,32906,4161,1640,0,Partially Accepted,Revised estimate created following scope reconciliation.
CLM00036,EST0000096,2024-01-30,Carrier,,Initial,15500,13092,1777,1006,0,Final,Initial carrier estimate following inspection and scope review.
CLM00036,EST0000097,2024-02-18,Roofer,TP00026,Roofer Estimate,32800,28784,1898,800,1318,Under Review,Estimate submitted by involved roofer.
CLM00037,EST0000098,2022-04-23,Carrier,,Initial,10300,7838,1129,319,1014,Superseded,Initial carrier estimate following inspection and scope review.
CLM00037,EST0000099,2022-04-24,Roofer,TP00034,Roofer Estimate,13800,12111,1454,322,0,Partially Accepted,Estimate submitted by involved roofer.
CLM00037,EST0000100,2022-06-25,Carrier,TP00034,Revised,17000,14166,1110,609,1115,Partially Accepted,Supplemental estimate received with additional repair line items.
CLM00038,EST0000101,2023-07-03,Carrier,,Initial,159200,140674,4174,1241,13111,Final,Initial carrier estimate following inspection and scope review.
CLM00038,EST0000102,2023-07-12,Electrician,TP00092,Electrician Estimate,143800,127916,15612,9908,0,Under Review,Estimate submitted by involved electrician.
CLM00039,EST0000103,2023-04-06,Carrier,,Initial,119400,95071,14104,701,9524,Final,Initial carrier estimate following inspection and scope review.
CLM00040,EST0000104,2022-11-08,Carrier,,Initial,20200,17682,818,977,723,Final,Initial carrier estimate following inspection and scope review.
CLM00040,EST0000105,2022-11-12,Roofer,TP00027,Roofer Estimate,27500,20319,3161,1900,2120,Under Review,Estimate submitted by involved roofer.
CLM00040,EST0000106,2022-11-12,Public Adjuster,TP00068,Public Adjuster Estimate,28100,25232,2953,1714,0,Accepted,Estimate package submitted by public adjuster.
CLM00041,EST0000107,2024-06-16,Carrier,,Initial,6500,5274,410,269,547,Final,Initial carrier estimate following inspection and scope review.
CLM00042,EST0000108,2024-10-26,Carrier,,Initial,49000,37141,5554,2591,3714,Final,Initial carrier estimate following inspection and scope review.
CLM00042,EST0000109,2024-10-26,Roofer,TP00037,Roofer Estimate,61000,43960,5092,1303,10645,Under Review,Estimate submitted by involved roofer.
CLM00043,EST0000110,2022-06-13,Carrier,,Initial,46100,39204,4713,2480,0,Superseded,Initial carrier estimate following inspection and scope review.
CLM00043,EST0000111,2022-06-24,Roofer,TP00033,Roofer Estimate,49000,35712,1413,440,11435,Partially Accepted,Estimate submitted by involved roofer.
CLM00043,EST0000112,2022-07-01,Public Adjuster,TP00065,Public Adjuster Estimate,60500,50775,4081,2785,2859,Partially Accepted,Estimate package submitted by public adjuster.
CLM00043,EST0000113,2022-07-30,Roofer,TP00033,Revised,66500,50283,3017,3937,9263,Partially Accepted,Supplemental estimate received with additional repair line items.
CLM00044,EST0000114,2022-12-23,Carrier,,Initial,22700,17609,1260,1486,2345,Superseded,Initial carrier estimate following inspection and scope review.
CLM00044,EST0000115,2023-01-01,Roofer,TP00028,Roofer Estimate,49100,40937,4993,2757,413,Partially Accepted,Estimate submitted by involved roofer.
CLM00044,EST0000116,2023-01-08,Public Adjuster,TP00070,Public Adjuster Estimate,37200,32804,3796,1566,0,Partially Accepted,Estimate package submitted by public adjuster.
CLM00044,EST0000117,2023-01-21,Roofer,,Revised,38700,33985,3206,2757,0,Under Review,Supplemental estimate received with additional repair line items.
CLM00044,EST0000118,2023-02-04,Roofer,TP00028,Supplement,46600,37355,3696,3488,2061,Under Review,Supplemental estimate received with additional repair line items.
CLM00044,EST0000119,2023-01-31,General Contractor,TP00028,Supplement,57600,46978,1424,2478,6720,Partially Accepted,Supplemental estimate received with additional repair line items.
CLM00045,EST0000120,2024-05-22,Carrier,,Initial,43900,37550,4584,41,1725,Superseded,Initial carrier estimate following inspection and scope review.
CLM00045,EST0000121,2024-05-24,Plumber,TP00038,Plumber Estimate,91800,75011,2152,925,13712,Partially Accepted,Estimate submitted by involved plumber.
CLM00045,EST0000122,2024-07-17,Plumber,,Revised,110900,87412,3089,6434,13965,Partially Accepted,Updated estimate following reinspection and documentation review.
CLM00046,EST0000123,2024-10-19,Carrier,,Initial,82900,64817,3754,5857,8472,Final,Initial carrier estimate following inspection and scope review.
CLM00046,EST0000124,2024-10-25,Roofer,TP00034,Roofer Estimate,114500,96958,3595,3072,10875,Under Review,Estimate submitted by involved roofer.
CLM00047,EST0000125,2023-01-09,Carrier,,Initial,9900,8811,578,472,39,Superseded,Initial carrier estimate following inspection and scope review.
CLM00047,EST0000126,2023-01-13,Roofer,TP00027,Roofer Estimate,17200,15258,1110,460,372,Partially Accepted,Estimate submitted by involved roofer.
CLM00047,EST0000127,2023-04-01,Carrier,TP00027,Supplement,18300,13687,1152,924,2537,Partially Accepted,Supplemental estimate received with additional repair line items.
CLM00048,EST0000128,2025-12-23,Carrier,,Initial,37600,32011,2995,2668,0,Final,Initial carrier estimate following inspection and scope review.
CLM00048,EST0000129,2025-12-24,Roofer,TP00027,Roofer Estimate,43300,32839,4754,65,5642,Under Review,Estimate submitted by involved roofer.
CLM00049,EST0000130,2022-07-10,Carrier,,Initial,10900,8272,520,52,2056,Superseded,Initial carrier estimate following inspection and scope review.
CLM00049,EST0000131,2022-07-07,General Contractor,TP00051,General Contractor Estimate,22300,17751,2602,958,989,Partially Accepted,Estimate submitted by involved general contractor.
CLM00049,EST0000132,2022-08-10,Carrier,,Revised,23200,17597,645,1500,3458,Partially Accepted,Revised estimate created following scope reconciliation.
CLM00050,EST0000133,2023-07-12,Carrier,,Initial,30500,24791,2454,2330,925,Superseded,Initial carrier estimate following inspection and scope review.
CLM00050,EST0000134,2023-07-24,Plumber,TP00041,Plumber Estimate,34900,27682,3245,2357,1616,Partially Accepted,Estimate submitted by involved plumber.
CLM00051,EST0000135,2023-01-26,Carrier,,Initial,81600,59228,7763,1201,13408,Superseded,Initial carrier estimate following inspection and scope review.
CLM00051,EST0000136,2023-02-08,Roofer,TP00027,Roofer Estimate,189800,155246,20969,5818,7767,Partially Accepted,Estimate submitted by involved roofer.
CLM00051,EST0000137,2023-04-16,General Contractor,,Revised,219600,196124,23813,2084,0,Under Review,Revised estimate created following scope reconciliation.
CLM00051,EST0000138,2023-03-02,Carrier,TP00027,Revised,232500,172403,9295,12939,37863,Under Review,Updated estimate following reinspection and documentation review.
CLM00051,EST0000139,2023-02-26,Roofer,,Supplement,251000,224158,15437,9729,1676,Under Review,Updated estimate following reinspection and documentation review.
CLM00051,EST0000140,2023-04-23,Roofer,TP00027,Supplement,264200,196830,26738,11454,29178,Partially Accepted,Supplemental estimate received with additional repair line items.
CLM00052,EST0000141,2022-11-10,Carrier,,Initial,31800,26898,3615,887,400,Final,Initial carrier estimate following inspection and scope review.
CLM00052,EST0000142,2022-11-20,Electrician,TP00092,Electrician Estimate,37800,30346,2217,1605,3632,Under Review,Estimate submitted by involved electrician.
CLM00053,EST0000143,2024-12-01,Carrier,,Initial,121600,93496,5704,7805,14595,Superseded,Initial carrier estimate following inspection and scope review.
CLM00053,EST0000144,2024-12-09,Electrician,TP00092,Electrician Estimate,153000,110492,12534,3812,26162,Partially Accepted,Estimate submitted by involved electrician.
CLM00053,EST0000145,2025-03-02,Electrician,,Revised,170700,125776,11763,1591,31570,Under Review,Updated estimate following reinspection and documentation review.
CLM00053,EST0000146,2025-02-25,Electrician,TP00092,Supplement,189600,168526,22256,2692,0,Partially Accepted,Supplemental estimate received with additional repair line items.
CLM00054,EST0000147,2024-10-23,Carrier,,Initial,11900,9799,885,257,959,Final,Initial carrier estimate following inspection and scope review.
CLM00054,EST0000148,2024-11-08,Electrician,TP00089,Electrician Estimate,11300,8566,332,268,2134,Under Review,Estimate submitted by involved electrician.
CLM00055,EST0000149,2023-06-20,Carrier,,Initial,5600,4860,128,441,171,Final,Initial carrier estimate following inspection and scope review.
CLM00056,EST0000150,2024-10-31,Carrier,,Initial,30900,24933,1341,1852,2774,Final,Initial carrier estimate following inspection and scope review.
CLM00056,EST0000151,2024-11-04,Roofer,TP00026,Roofer Estimate,71800,64529,1506,708,5057,Under Review,Estimate submitted by involved roofer.
CLM00056,EST0000152,2024-11-05,Public Adjuster,TP00068,Public Adjuster Estimate,53200,43176,6194,1751,2079,Accepted,Estimate package submitted by public adjuster.
CLM00057,EST0000153,2024-11-03,Carrier,,Initial,51400,45551,3238,802,1809,Superseded,Initial carrier estimate following inspection and scope review.
CLM00057,EST0000154,2024-11-10,Roofer,TP00031,Roofer Estimate,53800,42769,1484,752,8795,Partially Accepted,Estimate submitted by involved roofer.
CLM00057,EST0000155,2025-02-03,Roofer,TP00031,Revised,64100,49913,4493,2568,7126,Partially Accepted,Revised estimate created following scope reconciliation.
CLM00058,EST0000156,2022-08-23,Carrier,,Initial,22100,19221,1145,1064,670,Final,Initial carrier estimate following inspection and scope review.
CLM00058,EST0000157,2022-08-27,Roofer,TP00029,Roofer Estimate,24600,18681,1255,1893,2771,Under Review,Estimate submitted by involved roofer.
CLM00059,EST0000158,2024-09-16,Carrier,,Initial,38900,30975,2695,533,4697,Final,Initial carrier estimate following inspection and scope review.
CLM00059,EST0000159,2024-09-26,Roofer,TP00027,Roofer Estimate,44200,34734,5176,2931,1359,Under Review,Estimate submitted by involved roofer.
CLM00060,EST0000160,2025-03-28,Carrier,,Initial,46500,37448,3858,1156,4038,Superseded,Initial carrier estimate following inspection and scope review.
CLM00060,EST0000161,2025-03-24,Plumber,TP00046,Plumber Estimate,49800,41015,3753,3205,1827,Partially Accepted,Estimate submitted by involved plumber.
CLM00061,EST0000162,2024-02-29,Carrier,,Initial,10500,9392,1116,143,0,Superseded,Initial carrier estimate following inspection and scope review.
CLM00061,EST0000163,2024-03-04,General Contractor,TP00057,General Contractor Estimate,14200,11849,1337,862,152,Partially Accepted,Estimate submitted by involved general contractor.
CLM00061,EST0000164,2024-03-06,Public Adjuster,TP00067,Public Adjuster Estimate,16300,13988,631,572,1109,Under Review,Estimate package submitted by public adjuster.
CLM00062,EST0000165,2026-01-02,Carrier,,Initial,35500,30428,2371,1096,1605,Superseded,Initial carrier estimate following inspection and scope review.
CLM00062,EST0000166,2025-12-30,Roofer,TP00026,Roofer Estimate,59800,49346,5391,926,4137,Partially Accepted,Estimate submitted by involved roofer.
CLM00062,EST0000167,2026-04-01,General Contractor,TP00026,Supplement,74400,66505,4024,5639,0,Partially Accepted,Updated estimate following reinspection and documentation review.
CLM00063,EST0000168,2024-06-01,Carrier,,Initial,44200,38684,1427,3521,568,Superseded,Initial carrier estimate following inspection and scope review.
CLM00063,EST0000169,2024-06-10,Plumber,TP00039,Plumber Estimate,47100,37161,3468,2455,4016,Partially Accepted,Estimate submitted by involved plumber.
CLM00063,EST0000170,2024-08-27,Plumber,TP00039,Supplement,51200,38765,2963,2328,7144,Under Review,Revised estimate created following scope reconciliation.
CLM00063,EST0000171,2024-08-25,Carrier,TP00039,Supplement,62400,54732,3011,38,4619,Partially Accepted,Revised estimate created following scope reconciliation.
CLM00064,EST0000172,2025-06-22,Carrier,,Initial,43200,38385,3985,131,699,Superseded,Initial carrier estimate following inspection and scope review.
CLM00064,EST0000173,2025-06-26,Roofer,TP00032,Roofer Estimate,90100,72450,10613,5128,1909,Partially Accepted,Estimate submitted by involved roofer.
CLM00064,EST0000174,2025-08-07,Roofer,,Revised,112000,81470,8246,907,21377,Under Review,Supplemental estimate received with additional repair line items.
CLM00064,EST0000175,2025-08-22,General Contractor,TP00032,Revised,120600,104961,6814,7355,1470,Partially Accepted,Revised estimate created following scope reconciliation.
CLM00065,EST0000176,2025-01-10,Carrier,,Initial,26500,23184,2030,1887,0,Superseded,Initial carrier estimate following inspection and scope review.
CLM00065,EST0000177,2025-01-23,General Contractor,TP00055,General Contractor Estimate,32600,24200,1279,2601,4520,Partially Accepted,Estimate submitted by involved general contractor.
CLM00065,EST0000178,2025-03-26,General Contractor,,Supplement,34200,24744,3476,1201,4779,Under Review,Supplemental estimate received with additional repair line items.
CLM00065,EST0000179,2025-04-25,General Contractor,,Revised,41000,34200,1578,2871,2351,Partially Accepted,Revised estimate created following scope reconciliation.
CLM00066,EST0000180,2022-11-20,Carrier,,Initial,38300,30405,3288,2485,2122,Final,Initial carrier estimate following inspection and scope review.
CLM00067,EST0000181,2022-08-19,Carrier,,Initial,79300,60191,6037,1132,11940,Superseded,Initial carrier estimate following inspection and scope review.
CLM00067,EST0000182,2022-09-06,Roofer,TP00029,Roofer Estimate,77300,62269,2663,2830,9538,Partially Accepted,Estimate submitted by involved roofer.
CLM00068,EST0000183,2022-11-15,Carrier,,Initial,22000,19540,1376,951,133,Final,Initial carrier estimate following inspection and scope review.
CLM00068,EST0000184,2022-11-20,Plumber,TP00047,Plumber Estimate,26800,22757,1280,622,2141,Under Review,Estimate submitted by involved plumber.
CLM00069,EST0000185,2022-06-28,Carrier,,Initial,37900,31951,1611,1159,3179,Final,Initial carrier estimate following inspection and scope review.
CLM00069,EST0000186,2022-06-23,Electrician,TP00091,Electrician Estimate,42500,32183,1845,1830,6642,Under Review,Estimate submitted by involved electrician.
CLM00070,EST0000187,2025-04-13,Carrier,,Initial,48800,43252,2374,948,2226,Superseded,Initial carrier estimate following inspection and scope review.
CLM00070,EST0000188,2025-04-23,Roofer,TP00027,Roofer Estimate,74600,63852,8680,3830,0,Partially Accepted,Estimate submitted by involved roofer.
CLM00070,EST0000189,2025-04-27,Public Adjuster,TP00064,Public Adjuster Estimate,65500,52203,2068,2343,8886,Under Review,Estimate package submitted by public adjuster.
CLM00070,EST0000190,2025-05-19,Roofer,,Supplement,79800,64485,3333,3138,8844,Under Review,Updated estimate following reinspection and documentation review.
CLM00070,EST0000191,2025-06-21,Roofer,,Supplement,87500,64738,9808,6276,6678,Under Review,Revised estimate created following scope reconciliation.
CLM00070,EST0000192,2025-05-15,General Contractor,TP00027,Supplement,104700,90862,7548,3039,3251,Partially Accepted,Updated estimate following reinspection and documentation review.
CLM00071,EST0000193,2022-04-09,Carrier,,Initial,25500,21708,885,2003,904,Final,Initial carrier estimate following inspection and scope review.
CLM00071,EST0000194,2022-04-11,General Contractor,TP00056,General Contractor Estimate,27700,21856,1956,1545,2343,Under Review,Estimate submitted by involved general contractor.
CLM00072,EST0000195,2023-07-03,Carrier,,Initial,19000,17026,1487,1028,0,Final,Initial carrier estimate following inspection and scope review.
CLM00072,EST0000196,2023-07-14,Plumber,TP00038,Plumber Estimate,21100,17916,2484,1638,0,Under Review,Estimate submitted by involved plumber.
