claim_id,note_id,note_date,record_type,note_type,author_role,event_type,correspondence_type,sender_type,sender_id,recipient_type,recipient_id,subject,related_third_party_id,note_text
CLM00001,NOTE00000020,2022-02-21 13:30:00,Note,General,Claim Adjuster,,,,,,,,,FNOL details reviewed for completeness and initial diary activity documented.
CLM00001,NOTE00000027,2022-02-21 15:45:00,Note,General,Claim Adjuster,,,,,,,,,FNOL details reviewed for completeness and initial diary activity documented.
CLM00001,NOTE00000035,2022-02-22 09:45:00,Note,General,Claim Adjuster,,,,,,,,,FNOL details reviewed for completeness and initial diary activity documented.
CLM00001,NOTE00000007,2022-02-22 11:30:00,Note,Inspection,Field Adjuster,,,,,,,,,Field notes finalized. Damage observations forwarded to the assigned adjuster for estimate and coverage review.
CLM00001,NOTE00000044,2022-02-22 11:40:00,Note,Estimate,Claim Adjuster,,,,,,,,,Estimate line items and pricing reviewed against inspection documentation.
CLM00001,NOTE00000041,2022-02-22 17:40:00,Note,Estimate,Claim Adjuster,,,,,,,,,Estimate line items and pricing reviewed against inspection documentation.
CLM00001,NOTE00000013,2022-02-24 14:15:00,Event,Estimate,System,Estimate Created,,,,,,,,"Initial carrier estimate created for approximately $6,900. Current initial reserve is $5,900."
CLM00001,NOTE00000037,2022-02-25 09:05:00,Note,General,Claim Adjuster,,,,,,,,,FNOL details reviewed for completeness and initial diary activity documented.
CLM00001,NOTE00000028,2022-02-26 13:45:00,Note,General,Claim Adjuster,,,,,,,,,FNOL details reviewed for completeness and initial diary activity documented.
CLM00001,NOTE00000032,2022-02-26 15:30:00,Note,Document Request,Claim Adjuster,,,,,,,,,Outstanding supporting documentation noted for follow-up.
CLM00001,NOTE00000034,2022-02-27 08:15:00,Note,Document Request,Claim Adjuster,,,,,,,,,Outstanding supporting documentation noted for follow-up.
CLM00001,NOTE00000014,2022-02-27 14:45:00,Correspondence,Estimate,Claim Adjuster,,Email,Third Party,TP00056,Claim Adjuster,,Repair estimate,TP00056,Third-party general contractor estimate received and indexed. Adjuster reviewing differences against the carrier scope.
CLM00001,NOTE00000009,2022-02-28 11:05:00,Event,Third Party,System,Third Party Added,,,,,,,TP00056,General Contractor added to the claim: Atlantic Home Reconstruction.
CLM00001,NOTE00000017,2022-02-28 12:30:00,Correspondence,Customer Contact,Claim Adjuster,,Email,Customer,,Claim Adjuster,,Estimate review,,Status contact completed with the insured and next steps reviewed.
CLM00001,NOTE00000031,2022-03-01 16:30:00,Correspondence,Customer Contact,Claim Adjuster,,Phone Call,Customer,,Claim Adjuster,,Claim status,,Status contact completed with the insured and next steps reviewed.
CLM00001,NOTE00000029,2022-03-03 12:40:00,Note,General,Claim Adjuster,,,,,,,,,FNOL details reviewed for completeness and initial diary activity documented.
CLM00001,NOTE00000023,2022-03-04 11:40:00,Note,Document Request,Claim Adjuster,,,,,,,,,Outstanding supporting documentation noted for follow-up.
CLM00001,NOTE00000010,2022-03-06 12:40:00,Event,Third Party,System,Third Party Added,,,,,,,TP00057,General Contractor added to the claim: SunCoast General Builders.
CLM00001,NOTE00000015,2022-03-07 10:40:00,Correspondence,Legal,Claims Manager,,Letter,Attorney,TP00012,Claims Manager,,Letter of representation,TP00012,Letter of representation received from counsel. Claim communications updated to reflect legal representation.
CLM00001,NOTE00000016,2022-03-07 11:30:00,Note,Investigation,Claim Adjuster,,,,,,,,,Loss facts and inspection findings reviewed for consistency.
CLM00001,NOTE00000012,2022-03-07 13:30:00,Event,Third Party,System,Attorney Added,,,,,,,TP00012,Attorney added to the claim: Atlantic Home Claims Law.
CLM00001,NOTE00000040,2022-03-10 13:00:00,Note,Investigation,Claim Adjuster,,,,,,,,,Loss facts and inspection findings reviewed for consistency.
CLM00001,NOTE00000025,2022-03-11 12:50:00,Note,Inspection,Field Adjuster,,,,,,,,,Inspection photographs and observations reviewed for completeness.
CLM00001,NOTE00000038,2022-03-11 14:40:00,Correspondence,Customer Contact,Claim Adjuster,,Email,Claim Adjuster,,Claim Adjuster,,Estimate review,,Status contact completed with the insured and next steps reviewed.
CLM00001,NOTE00000042,2022-03-12 17:30:00,Note,Investigation,Claim Adjuster,,,,,,,,,Loss facts and inspection findings reviewed for consistency.
CLM00001,NOTE00000026,2022-03-14 09:50:00,Note,General,Claim Adjuster,,,,,,,,,FNOL details reviewed for completeness and initial diary activity documented.
CLM00001,NOTE00000043,2022-03-15 08:20:00,Correspondence,Customer Contact,Claim Adjuster,,Phone Call,Customer,,Claims Manager,,Estimate review,,Status contact completed with the insured and next steps reviewed.
CLM00001,NOTE00000036,2022-03-15 09:40:00,Note,Document Request,Claim Adjuster,,,,,,,,,Outstanding supporting documentation noted for follow-up.
CLM00001,NOTE00000022,2022-03-16 08:50:00,Note,Claim Handling,Claim Adjuster,,,,,,,,,Initial triage completed and next handling action documented.
CLM00001,NOTE00000033,2022-03-17 11:15:00,Correspondence,Third Party,Claim Adjuster,,Portal Message,Customer,,Claim Adjuster,,Estimate review,,Third-party documentation received and added to the electronic claim file.
CLM00001,NOTE00000030,2022-03-17 14:10:00,Note,Estimate,Claim Adjuster,,,,,,,,,Estimate and repair-scope review remain active. Carrier and available third-party scope information are being compared before the next claim decision.
CLM00002,NOTE00000046,2023-02-14 11:20:00,Event,Claim Handling,System,Claim Assigned,,,,,,,,Claim assigned to the property claims queue for initial triage and adjuster assignment.
CLM00002,NOTE00000045,2023-02-14 15:30:00,Event,Claim Handling,System,FNOL,,,,,,,,First Notice of Loss received for reported wind damage. Date of loss reported as 2023-02-14.
CLM00002,NOTE00000047,2023-02-15 08:10:00,Correspondence,Customer Contact,Claim Adjuster,,Phone Call,Claim Adjuster,,Customer,,Initial claim contact,,"Initial contact completed with the insured. Reported damage, inspection process, deductible and next steps were reviewed."
CLM00002,NOTE00000048,2023-02-16 13:10:00,Correspondence,Document Request,Claim Adjuster,,Email,Claim Adjuster,,Customer,,Supporting claim documentation,,Asked the insured to upload supporting photographs and any estimates or emergency repair documentation.
CLM00002,NOTE00000052,2023-02-18 16:05:00,Note,Investigation,Claim Adjuster,,,,,,,,,Weather validation completed for the reported wind date. No corresponding named hurricane or severe weather event was identified for the immediate loss window at this location.
CLM00002,NOTE00000049,2023-02-18 16:45:00,Event,Inspection,System,Inspection Scheduled,,,,,,,,Property inspection scheduled and inspection assignment confirmed.
CLM00002,NOTE00000056,2023-02-19 09:05:00,Event,Third Party,System,Third Party Added,,,,,,,TP00017,Mitigation Company added to the claim: Coastal Response Mitigation.
CLM00002,NOTE00000092,2023-02-20 09:05:00,Correspondence,Customer Contact,Claim Adjuster,,Portal Message,Customer,,Claim Adjuster,,Claim status,,Status contact completed with the insured and next steps reviewed.
CLM00002,NOTE00000053,2023-02-20 09:30:00,Event,Third Party,System,Third Party Added,,,,,,,TP00083,Inspector added to the claim: Coastal Inspection Services.
CLM00002,NOTE00000050,2023-02-20 16:15:00,Event,Inspection,System,Inspection Completed,,,,,,,,"Field inspection completed. Damage areas, condition of affected components and reported cause of loss were documented."
CLM00002,NOTE00000051,2023-02-21 09:45:00,Note,Inspection,Field Adjuster,,,,,,,,,Inspection photographs and field observations uploaded. Scope review to follow.
CLM00002,NOTE00000055,2023-02-21 12:05:00,Event,Third Party,System,Third Party Added,,,,,,,TP00050,General Contractor added to the claim: Sunrise General Contracting.
CLM00002,NOTE00000107,2023-02-23 14:45:00,Note,Claim Handling,Claim Adjuster,,,,,,,,,Initial triage completed and next handling action documented.
CLM00002,NOTE00000067,2023-02-23 15:45:00,Event,Estimate,System,Estimate Created,,,,,,,,"Initial carrier estimate created for approximately $18,000. Current initial reserve is $15,800."
CLM00002,NOTE00000129,2023-02-24 08:00:00,Note,Investigation,Claim Adjuster,,,,,,,,,Loss facts and inspection findings reviewed for consistency.
CLM00002,NOTE00000113,2023-02-26 17:05:00,Note,Legal,Internal Legal,,,,,,,,,Legal diary reviewed and outstanding litigation-related claim-file items documented.
CLM00002,NOTE00000115,2023-02-27 09:50:00,Note,Payment,Claim Adjuster,,,,,,,,,Payment and reserve position reviewed against the current accepted estimate.
CLM00002,NOTE00000065,2023-02-27 17:40:00,Event,Third Party,System,Third Party Added,,,,,,,TP00079,Appraiser added to the claim: Florida Loss Appraisers.
CLM00002,NOTE00000064,2023-03-01 08:00:00,Event,Third Party,System,Third Party Added,,,,,,,TP00052,General Contractor added to the claim: Peninsula Property Restoration.
CLM00002,NOTE00000068,2023-03-02 16:40:00,Correspondence,Estimate,Claim Adjuster,,Email,Third Party,TP00034,Claim Adjuster,,Repair estimate,TP00034,Received repair estimate from the involved roofer. Scope and pricing are being compared with the carrier estimate.
CLM00002,NOTE00000063,2023-03-03 09:15:00,Event,Third Party,System,Third Party Added,,,,,,,TP00042,Plumber added to the claim: Coastal Pipeworks.
CLM00002,NOTE00000124,2023-03-04 13:40:00,Correspondence,Customer Contact,Claim Adjuster,,Phone Call,Customer,,Claims Manager,,Estimate review,,Status update provided regarding supplement or reinspection review.
CLM00002,NOTE00000058,2023-03-04 14:40:00,Event,Third Party,System,Third Party Added,,,,,,,TP00090,Electrician added to the claim: Gulf Coast Electrical.
CLM00002,NOTE00000061,2023-03-07 08:00:00,Event,Third Party,System,Third Party Added,,,,,,,TP00097,Mold Remediation added to the claim: Atlantic Mold Solutions.
CLM00002,NOTE00000054,2023-03-07 16:40:00,Event,Third Party,System,Third Party Added,,,,,,,TP00034,Roofer added to the claim: StormGuard Roof Services.
CLM00002,NOTE00000069,2023-03-10 09:05:00,Event,Coverage,System,Coverage Review Started,,,,,,,,"Coverage and documentation review initiated based on inspection findings, reported cause of loss and submitted records."
CLM00002,NOTE00000059,2023-03-13 15:00:00,Event,Third Party,System,Third Party Added,,,,,,,TP00087,Emergency Services Provider added to the claim: Florida Emergency Property Care.
CLM00002,NOTE00000062,2023-03-14 08:40:00,Event,Third Party,System,Third Party Added,,,,,,,TP00086,Emergency Services Provider added to the claim: Rapid Response Property Services.
CLM00002,NOTE00000057,2023-03-14 13:40:00,Event,Third Party,System,Third Party Added,,,,,,,TP00080,Appraiser added to the claim: Atlantic Property Valuation.
CLM00002,NOTE00000117,2023-03-19 15:45:00,Note,Investigation,Claim Adjuster,,,,,,,,,Loss facts and inspection findings reviewed for consistency.
CLM00002,NOTE00000060,2023-03-20 11:05:00,Event,Third Party,System,Third Party Added,,,,,,,TP00088,Emergency Services Provider added to the claim: Coastal Emergency Services.
CLM00002,NOTE00000070,2023-03-20 13:00:00,Note,Coverage,Senior Adjuster,,,,,,,,,"File reviewed for policy applicability and consistency between reported damage, inspection findings and submitted estimates."
CLM00002,NOTE00000066,2023-03-21 12:00:00,Event,Third Party,System,Third Party Added,,,,,,,TP00078,Appraiser added to the claim: Sunstate Appraisal Group.
CLM00002,NOTE00000089,2023-03-23 12:10:00,Note,Manager Review,Claims Manager,,,,,,,,,"File reviewed for progress, coverage considerations and next actions."
CLM00002,NOTE00000081,2023-03-23 16:05:00,Correspondence,Customer Contact,Claim Adjuster,,Portal Message,Claim Adjuster,,Claims Manager,,Claim status,,Status update provided regarding supplement or reinspection review.
CLM00002,NOTE00000101,2023-03-23 16:30:00,Note,Manager Review,Claims Manager,,,,,,,,,"Escalated file reviewed for unresolved scope, communication and documentation issues."
CLM00002,NOTE00000109,2023-03-24 15:05:00,Correspondence,Customer Contact,Claim Adjuster,,Portal Message,Third Party,,Claim Adjuster,,Estimate review,,Status update provided regarding supplement or reinspection review.
CLM00002,NOTE00000125,2023-03-26 11:45:00,Note,Claim Handling,Claim Adjuster,,,,,,,,,Initial triage completed and next handling action documented.
CLM00002,NOTE00000074,2023-04-02 11:40:00,Note,Estimate,Claim Adjuster,,,,,,,,,Material differences remain between the carrier scope and third-party repair estimate. Reconciliation review is ongoing.
CLM00002,NOTE00000071,2023-04-05 14:15:00,Note,Payment,Claim Adjuster,,,,,,,,,"Payment position reviewed based on accepted scope, deductible and current estimate."
CLM00002,NOTE00000075,2023-04-11 13:10:00,Event,Inspection,System,Inspection Scheduled,,,,,,,,Reinspection or supplemental field review scheduled to address disputed scope items.
CLM00002,NOTE00000072,2023-04-15 10:50:00,Correspondence,Customer Contact,Claim Adjuster,,Email,Claim Adjuster,,Customer,,Claim payment/status update,,Updated the insured regarding the current valuation and payment position and explained remaining steps.
CLM00002,NOTE00000088,2023-04-19 15:10:00,Note,Manager Review,Claims Manager,,,,,,,,,"File reviewed for progress, coverage considerations and next actions."
CLM00002,NOTE00000084,2023-04-22 09:00:00,Note,Legal,Internal Legal,,,,,,,,,Legal diary reviewed and outstanding litigation-related claim-file items documented.
CLM00002,NOTE00000073,2023-04-23 14:05:00,Event,Estimate,System,Supplement Received,,,,,,,,Supplemental estimate or additional scope documentation received for review.
CLM00002,NOTE00000131,2023-04-24 12:20:00,Note,Estimate,Claim Adjuster,,,,,,,,,Estimate line items and pricing reviewed against inspection documentation.
CLM00002,NOTE00000083,2023-04-27 09:40:00,Correspondence,Customer Contact,Claim Adjuster,,Email,Third Party,,Claims Manager,,Documentation follow-up,,Status update provided regarding supplement or reinspection review.
CLM00002,NOTE00000120,2023-05-02 14:20:00,Note,Payment,Claim Adjuster,,,,,,,,,Payment and reserve position reviewed against the current accepted estimate.
CLM00002,NOTE00000098,2023-05-05 10:15:00,Correspondence,Third Party,Claim Adjuster,,Portal Message,Claim Adjuster,,Claim Adjuster,,Estimate review,,Third-party documentation received and added to the electronic claim file.
CLM00002,NOTE00000132,2023-05-06 11:30:00,Note,Legal,Internal Legal,,,,,,,,,Legal diary reviewed and outstanding litigation-related claim-file items documented.
CLM00002,NOTE00000096,2023-05-12 17:45:00,Note,Estimate,Claim Adjuster,,,,,,,,,Supplemental scope and pricing differences reviewed.
CLM00002,NOTE00000119,2023-05-18 09:50:00,Note,Document Request,Claim Adjuster,,,,,,,,,Outstanding supporting documentation noted for follow-up.
CLM00002,NOTE00000106,2023-05-18 16:30:00,Note,Coverage,Senior Adjuster,,,,,,,,,Coverage review diary updated with outstanding documentation and causation items.
CLM00002,NOTE00000100,2023-05-21 10:40:00,Note,Payment,Claim Adjuster,,,,,,,,,Payment and reserve position reviewed against the current accepted estimate.
CLM00002,NOTE00000080,2023-05-21 15:45:00,Correspondence,Third Party,Claim Adjuster,,Email,Third Party,,Claims Manager,,Claim status,,Third-party documentation received and added to the electronic claim file.
CLM00002,NOTE00000090,2023-06-02 11:15:00,Correspondence,Customer Contact,Claim Adjuster,,Email,Third Party,,Claims Manager,,Next steps,,Status contact completed with the insured and next steps reviewed.
CLM00002,NOTE00000122,2023-06-08 08:40:00,Note,Manager Review,Claims Manager,,,,,,,,,Claim and litigation status reviewed with legal handling team.
CLM00002,NOTE00000093,2023-06-09 09:45:00,Correspondence,Customer Contact,Claim Adjuster,,Email,Claim Adjuster,,Customer,,Estimate review,,Status update provided regarding supplement or reinspection review.
CLM00002,NOTE00000103,2023-06-09 14:30:00,Correspondence,Customer Contact,Claim Adjuster,,Email,Claim Adjuster,,Claims Manager,,Estimate review,,Customer provided an update regarding payment status and remaining items.
CLM00002,NOTE00000076,2023-06-18 12:05:00,Event,Legal,System,Litigation Notice,,,,,,,,Litigation notice received and claim referred to the litigation management workflow.
CLM00002,NOTE00000118,2023-06-21 14:50:00,Note,Investigation,Claim Adjuster,,,,,,,,,Loss facts and inspection findings reviewed for consistency.
CLM00002,NOTE00000077,2023-06-23 08:10:00,Note,Legal,Internal Legal,,,,,,,,,"Litigation file opened. Claim chronology, estimates, correspondence, coverage analysis and third-party records compiled for counsel review."
CLM00002,NOTE00000094,2023-06-24 15:05:00,Correspondence,Third Party,Claim Adjuster,,Email,Claim Adjuster,,Claim Adjuster,,Next steps,,Third-party documentation received and added to the electronic claim file.
CLM00002,NOTE00000128,2023-06-25 08:00:00,Note,General,Claims Manager,,,,,,,,,Closure quality review completed and claim diary finalized.
CLM00002,NOTE00000078,2023-07-07 13:50:00,Correspondence,Legal,Internal Legal,,Email,Internal Legal,,Attorney,,Litigation file coordination,,Initial litigation coordination completed with assigned counsel. Outstanding discovery and claim-file items identified.
CLM00002,NOTE00000126,2023-07-12 08:15:00,Correspondence,Customer Contact,Claim Adjuster,,Email,Third Party,,Customer,,Claim status,,Status update provided regarding supplement or reinspection review.
CLM00002,NOTE00000104,2023-07-12 12:10:00,Note,Coverage,Senior Adjuster,,,,,,,,,Coverage review diary updated with outstanding documentation and causation items.
CLM00002,NOTE00000111,2023-07-16 16:40:00,Note,Claim Handling,Claim Adjuster,,,,,,,,,Final file documentation and financial entries reviewed for closure.
CLM00002,NOTE00000085,2023-07-19 14:40:00,Note,Claim Handling,Claim Adjuster,,,,,,,,,Final file documentation and financial entries reviewed for closure.
CLM00002,NOTE00000091,2023-07-20 12:15:00,Note,Claim Handling,Claim Adjuster,,,,,,,,,Initial triage completed and next handling action documented.
CLM00002,NOTE00000121,2023-07-22 08:20:00,Note,Investigation,Claim Adjuster,,,,,,,,,Loss facts and inspection findings reviewed for consistency.
CLM00002,NOTE00000105,2023-07-26 08:05:00,Note,Manager Review,Claims Manager,,,,,,,,,Claim and litigation status reviewed with legal handling team.
CLM00002,NOTE00000114,2023-07-30 14:10:00,Note,Payment,Claim Adjuster,,,,,,,,,Payment and reserve position reviewed against the current accepted estimate.
CLM00002,NOTE00000116,2023-08-02 12:10:00,Note,Manager Review,Claims Manager,,,,,,,,,Claim and litigation status reviewed with legal handling team.
CLM00002,NOTE00000097,2023-08-09 13:50:00,Correspondence,Customer Contact,Claim Adjuster,,Email,Customer,,Customer,,Claim status,,Status contact completed with the insured and next steps reviewed.
CLM00002,NOTE00000130,2023-08-19 12:30:00,Correspondence,Customer Contact,Claim Adjuster,,Portal Message,Third Party,,Claim Adjuster,,Estimate review,,Status update provided regarding supplement or reinspection review.
CLM00002,NOTE00000123,2023-08-23 08:05:00,Note,Manager Review,Claims Manager,,,,,,,,,"Escalated file reviewed for unresolved scope, communication and documentation issues."
CLM00002,NOTE00000110,2023-09-02 16:45:00,Note,Investigation,Claim Adjuster,,,,,,,,,Loss facts and inspection findings reviewed for consistency.
CLM00002,NOTE00000108,2023-09-03 10:20:00,Note,Investigation,Claim Adjuster,,,,,,,,,Loss facts and inspection findings reviewed for consistency.
CLM00002,NOTE00000099,2023-09-07 09:00:00,Correspondence,Customer Contact,Claim Adjuster,,Phone Call,Third Party,,Claim Adjuster,,Claim status,,Status update provided regarding supplement or reinspection review.
CLM00002,NOTE00000082,2023-09-13 08:50:00,Note,Payment,Claim Adjuster,,,,,,,,,Payment and reserve position reviewed against the current accepted estimate.
CLM00002,NOTE00000102,2023-09-13 13:05:00,Correspondence,Customer Contact,Claim Adjuster,,Portal Message,Third Party,,Customer,,Estimate review,,Customer provided an update regarding payment status and remaining items.
CLM00002,NOTE00000127,2023-09-13 15:40:00,Note,Estimate,Claim Adjuster,,,,,,,,,Estimate line items and pricing reviewed against inspection documentation.
CLM00002,NOTE00000095,2023-09-30 11:20:00,Correspondence,Customer Contact,Claim Adjuster,,Email,Third Party,,Customer,,Next steps,,Customer provided an update regarding payment status and remaining items.
CLM00002,NOTE00000086,2023-10-01 12:20:00,Note,Claim Handling,Claim Adjuster,,,,,,,,,Final file documentation and financial entries reviewed for closure.
CLM00002,NOTE00000087,2023-10-07 08:05:00,Note,Legal,Internal Legal,,,,,,,,,Legal diary reviewed and outstanding litigation-related claim-file items documented.
CLM00002,NOTE00000112,2023-10-09 08:50:00,Correspondence,Customer Contact,Claim Adjuster,,Portal Message,Customer,,Claims Manager,,Next steps,,Status contact completed with the insured and next steps reviewed.
CLM00002,NOTE00000079,2023-10-12 11:20:00,Event,Claim Handling,System,Claim Closed,,,,,,,,Litigation matter concluded. Final claim activity reconciled and file approved for closure.
CLM00003,NOTE00000134,2025-05-20 09:30:00,Event,Claim Handling,System,Claim Assigned,,,,,,,,Claim assigned to the property claims queue for initial triage and adjuster assignment.
CLM00003,NOTE00000133,2025-05-20 11:45:00,Event,Claim Handling,System,FNOL,,,,,,,,First Notice of Loss received for reported water damage. Date of loss reported as 2025-05-15.
CLM00003,NOTE00000135,2025-05-21 13:15:00,Correspondence,Customer Contact,Claim Adjuster,,Phone Call,Claim Adjuster,,Customer,,Initial claim contact,,"Initial contact completed with the insured. Reported damage, inspection process, deductible and next steps were reviewed."
CLM00003,NOTE00000136,2025-05-22 13:45:00,Correspondence,Document Request,Claim Adjuster,,Email,Claim Adjuster,,Customer,,Supporting claim documentation,,"Sent document request for photographs, receipts, invoices and any contractor or mitigation records already available."
CLM00003,NOTE00000167,2025-05-25 08:20:00,Note,Legal,Internal Legal,,,,,,,,,Legal diary reviewed and outstanding litigation-related claim-file items documented.
CLM00003,NOTE00000143,2025-05-25 15:00:00,Event,Third Party,System,Third Party Added,,,,,,,TP00024,Mitigation Company added to the claim: Orange State Mitigation.
CLM00003,NOTE00000173,2025-05-29 12:40:00,Note,Estimate,Claim Adjuster,,,,,,,,,Supplemental scope and pricing differences reviewed.
CLM00003,NOTE00000137,2025-05-29 16:15:00,Event,Inspection,System,Inspection Scheduled,,,,,,,,Property inspection scheduled and inspection assignment confirmed.
CLM00003,NOTE00000138,2025-05-31 09:40:00,Event,Inspection,System,Inspection Completed,,,,,,,,"Field inspection completed. Damage areas, condition of affected components and reported cause of loss were documented."
CLM00003,NOTE00000140,2025-05-31 13:30:00,Event,Third Party,System,Third Party Added,,,,,,,TP00084,Inspector added to the claim: Florida Field Inspection Group.
CLM00003,NOTE00000139,2025-06-01 10:05:00,Note,Inspection,Field Adjuster,,,,,,,,,Inspection photographs and field observations uploaded. Scope review to follow.
CLM00003,NOTE00000195,2025-06-02 17:45:00,Note,Legal,Internal Legal,,,,,,,,,Legal diary reviewed and outstanding litigation-related claim-file items documented.
CLM00003,NOTE00000141,2025-06-03 11:15:00,Event,Third Party,System,Third Party Added,,,,,,,TP00039,Plumber added to the claim: Sunstate Plumbing Services.
CLM00003,NOTE00000148,2025-06-03 16:40:00,Event,Estimate,System,Estimate Created,,,,,,,,"Initial carrier estimate created for approximately $34,200. Current initial reserve is $34,300."
CLM00003,NOTE00000142,2025-06-03 17:10:00,Event,Third Party,System,Third Party Added,,,,,,,TP00054,General Contractor added to the claim: Florida Residential Builders.
CLM00003,NOTE00000187,2025-06-06 16:45:00,Note,Estimate,Claim Adjuster,,,,,,,,,Estimate line items and pricing reviewed against inspection documentation.
CLM00003,NOTE00000147,2025-06-07 10:00:00,Event,Third Party,System,Third Party Added,,,,,,,TP00029,Roofer added to the claim: Blue Sky Roof Works.
CLM00003,NOTE00000144,2025-06-08 14:15:00,Event,Third Party,System,Third Party Added,,,,,,,TP00080,Appraiser added to the claim: Atlantic Property Valuation.
CLM00003,NOTE00000149,2025-06-12 13:15:00,Correspondence,Estimate,Claim Adjuster,,Email,Third Party,TP00039,Claim Adjuster,,Repair estimate,TP00039,Third-party plumber estimate received and indexed. Adjuster reviewing differences against the carrier scope.
CLM00003,NOTE00000146,2025-06-12 14:40:00,Event,Third Party,System,Third Party Added,,,,,,,TP00035,Roofer added to the claim: Sunrise Roofing & Exteriors.
CLM00003,NOTE00000145,2025-06-13 17:45:00,Event,Third Party,System,Third Party Added,,,,,,,TP00095,HVAC Contractor added to the claim: Sunrise HVAC.
CLM00003,NOTE00000209,2025-06-14 09:05:00,Note,Inspection,Field Adjuster,,,,,,,,,Inspection photographs and observations reviewed for completeness.
CLM00003,NOTE00000169,2025-06-16 12:05:00,Note,Manager Review,Claims Manager,,,,,,,,,Claim and litigation status reviewed with legal handling team.
CLM00003,NOTE00000199,2025-06-21 17:05:00,Note,Manager Review,Claims Manager,,,,,,,,,Claim and litigation status reviewed with legal handling team.
CLM00003,NOTE00000150,2025-06-24 15:05:00,Event,Coverage,System,Coverage Review Started,,,,,,,,"Coverage and documentation review initiated based on inspection findings, reported cause of loss and submitted records."
CLM00003,NOTE00000200,2025-06-25 08:20:00,Note,Legal,Internal Legal,,,,,,,,,Legal diary reviewed and outstanding litigation-related claim-file items documented.
CLM00003,NOTE00000178,2025-06-25 10:20:00,Note,Inspection,Field Adjuster,,,,,,,,,Inspection photographs and observations reviewed for completeness.
CLM00003,NOTE00000183,2025-06-27 10:30:00,Note,Legal,Internal Legal,,,,,,,,,Legal diary reviewed and outstanding litigation-related claim-file items documented.
CLM00003,NOTE00000151,2025-06-28 12:45:00,Note,Coverage,Senior Adjuster,,,,,,,,,"File reviewed for policy applicability and consistency between reported damage, inspection findings and submitted estimates."
CLM00003,NOTE00000196,2025-06-29 11:45:00,Note,Manager Review,Claims Manager,,,,,,,,,Claim and litigation status reviewed with legal handling team.
CLM00003,NOTE00000181,2025-07-01 13:50:00,Note,Manager Review,Claims Manager,,,,,,,,,"File reviewed for progress, coverage considerations and next actions."
CLM00003,NOTE00000155,2025-07-01 15:00:00,Note,Estimate,Claim Adjuster,,,,,,,,,Material differences remain between the carrier scope and third-party repair estimate. Reconciliation review is ongoing.
CLM00003,NOTE00000179,2025-07-05 09:50:00,Note,Manager Review,Claims Manager,,,,,,,,,"Escalated file reviewed for unresolved scope, communication and documentation issues."
CLM00003,NOTE00000186,2025-07-07 12:20:00,Note,Claim Handling,Claim Adjuster,,,,,,,,,Initial triage completed and next handling action documented.
CLM00003,NOTE00000154,2025-07-07 15:00:00,Event,Estimate,System,Supplement Received,,,,,,,,Supplemental estimate or additional scope documentation received for review.
CLM00003,NOTE00000153,2025-07-08 14:30:00,Correspondence,Customer Contact,Claim Adjuster,,Email,Claim Adjuster,,Customer,,Claim payment/status update,,Updated the insured regarding the current valuation and payment position and explained remaining steps.
